Time,StepCount,zChassis [17 real output]
0,0,1
0.01,1,1
0.02,2,1.00012
0.03,3,1.00045
0.04,4,1.00088
0.05,5,1.00121
0.06,6,1.00131
0.07,7,1.00118
0.08,8,1.00094
0.09,9,1.00074
0.1,10,1.00073
0.11,11,1.00089
0.12,12,1.00116
0.13,13,1.00139
0.14,14,1.00148
0.15,15,1.0014
0.16,16,1.00122
0.17,17,1.00105
0.18,18,1.00098
0.19,19,1.00104
0.2,20,1.00119
0.21,21,1.00133
0.22,22,1.00138
0.23,23,1.00132
0.24,24,1.00118
0.25,25,1.00102
0.26,26,1.00092
0.27,27,1.00091
0.28,28,1.00097
0.29,29,1.00104
0.3,30,1.00106
0.31,31,1.001
0.32,32,1.00088
0.33,33,1.00074
0.34,34,1.00063
0.35,35,1.00058
0.36,36,1.00058
0.37,37,1.0006
0.38,38,1.0006
0.39,39,1.00054
0.4,40,1.00044
0.41,41,1.00032
0.42,42,1.00021
0.43,43,1.00015
0.44,44,1.00012
0.45,45,1.00011
0.46,46,1.0001
0.47,47,1.00005
0.48,48,0.99997
0.49,49,0.999873
0.5,50,0.999782
0.51,51,0.999717
0.52,52,0.999683
0.53,53,0.999668
0.54,54,0.999652
0.55,55,0.99962
0.56,56,0.999566
0.57,57,0.999498
0.58,58,0.999432
0.59,59,0.999383
0.6,60,0.999357
0.61,61,0.999347
0.62,62,0.999341
0.63,63,0.999328
0.64,64,0.999301
0.65,65,0.999263
0.66,66,0.999226
0.67,67,0.999199
0.68,68,0.999188
0.69,69,0.999191
0.7,70,0.9992
0.71,71,0.999206
0.72,72,0.999204
0.73,73,0.999195
0.74,74,0.999184
0.75,75,0.99918
0.76,76,0.999187
0.77,77,0.999205
0.78,78,0.999228
0.79,79,0.999251
0.8,80,0.999269
0.81,81,0.999282
0.82,82,0.999293
0.83,83,0.999307
0.84,84,0.999328
0.85,85,0.999357
0.86,86,0.999391
0.87,87,0.999425
0.88,88,0.999456
0.89,89,0.999483
0.9,90,0.999507
0.91,91,0.999533
0.92,92,0.999563
0.93,93,0.999597
0.94,94,0.999635
0.95,95,0.999673
0.96,96,0.999708
0.97,97,0.99974
0.98,98,0.99977
0.99,99,0.999799
1,100,0.999829
1.01,101,0.999862
1.02,102,1.00003
1.03,103,1.00082
1.04,104,1.00285
1.05,105,1.00647
1.06,106,1.01146
1.07,107,1.01717
1.08,108,1.02281
1.09,109,1.0279
1.1,110,1.03245
1.11,111,1.03689
1.12,112,1.04181
1.13,113,1.04759
1.14,114,1.05423
1.15,115,1.06134
1.16,116,1.06841
1.17,117,1.07504
1.18,118,1.08114
1.19,119,1.08697
1.2,120,1.0929
1.21,121,1.09925
1.22,122,1.10607
1.23,123,1.11315
1.24,124,1.12012
1.25,125,1.12667
1.26,126,1.13271
1.27,127,1.13835
1.28,128,1.14384
1.29,129,1.14941
1.3,130,1.15515
1.31,131,1.16094
1.32,132,1.16655
1.33,133,1.17175
1.34,134,1.17644
1.35,135,1.18066
1.36,136,1.18458
1.37,137,1.18837
1.38,138,1.19212
1.39,139,1.19578
1.4,140,1.19921
1.41,141,1.20225
1.42,142,1.20481
1.43,143,1.20691
1.44,144,1.20864
1.45,145,1.21015
1.46,146,1.21151
1.47,147,1.21271
1.48,148,1.21369
1.49,149,1.21433
1.5,150,1.21456
1.51,151,1.21439
1.52,152,1.21388
1.53,153,1.21313
1.54,154,1.21222
1.55,155,1.21116
1.56,156,1.20991
1.57,157,1.20842
1.58,158,1.20663
1.59,159,1.20454
1.6,160,1.2022
1.61,161,1.19968
1.62,162,1.19703
1.63,163,1.1943
1.64,164,1.19146
1.65,165,1.18849
1.66,166,1.18535
1.67,167,1.18204
1.68,168,1.17858
1.69,169,1.17504
1.7,170,1.17146
1.71,171,1.16787
1.72,172,1.16428
1.73,173,1.16067
1.74,174,1.15702
1.75,175,1.15332
1.76,176,1.1496
1.77,177,1.14589
1.78,178,1.14223
1.79,179,1.13864
1.8,180,1.13515
1.81,181,1.13173
1.82,182,1.12838
1.83,183,1.12509
1.84,184,1.12186
1.85,185,1.11874
1.86,186,1.11573
1.87,187,1.11287
1.88,188,1.11016
1.89,189,1.1076
1.9,190,1.10517
1.91,191,1.10287
1.92,192,1.10071
1.93,193,1.09869
1.94,194,1.09684
1.95,195,1.09516
1.96,196,1.09366
1.97,197,1.09233
1.98,198,1.09117
1.99,199,1.09017
2,200,1.08933
2.01,201,1.08864
2.02,202,1.08812
2.03,203,1.08777
2.04,204,1.08759
2.05,205,1.08758
2.06,206,1.08773
2.07,207,1.08803
2.08,208,1.08846
2.09,209,1.08903
2.1,210,1.08974
2.11,211,1.09058
2.12,212,1.09156
2.13,213,1.09266
2.14,214,1.09389
2.15,215,1.09522
2.16,216,1.09664
2.17,217,1.09816
2.18,218,1.09976
2.19,219,1.10144
2.2,220,1.1032
2.21,221,1.10503
2.22,222,1.10692
2.23,223,1.10885
2.24,224,1.11083
2.25,225,1.11284
2.26,226,1.11487
2.27,227,1.11693
2.28,228,1.119
2.29,229,1.12107
2.3,230,1.12315
2.31,231,1.12522
2.32,232,1.12727
2.33,233,1.12929
2.34,234,1.13128
2.35,235,1.13324
2.36,236,1.13516
2.37,237,1.13703
2.38,238,1.13885
2.39,239,1.14062
2.4,240,1.14232
2.41,241,1.14395
2.42,242,1.14552
2.43,243,1.147
2.44,244,1.14841
2.45,245,1.14974
2.46,246,1.15098
2.47,247,1.15214
2.48,248,1.15321
2.49,249,1.15419
2.5,250,1.15507
2.51,251,1.15587
2.52,252,1.15656
2.53,253,1.15717
2.54,254,1.15768
2.55,255,1.1581
2.56,256,1.15842
2.57,257,1.15865
2.58,258,1.15879
2.59,259,1.15883
2.6,260,1.15879
2.61,261,1.15866
2.62,262,1.15845
2.63,263,1.15816
2.64,264,1.15779
2.65,265,1.15734
2.66,266,1.15682
2.67,267,1.15623
2.68,268,1.15557
2.69,269,1.15485
2.7,270,1.15407
2.71,271,1.15324
2.72,272,1.15236
2.73,273,1.15143
2.74,274,1.15045
2.75,275,1.14944
2.76,276,1.14839
2.77,277,1.14732
2.78,278,1.14622
2.79,279,1.14509
2.8,280,1.14395
2.81,281,1.1428
2.82,282,1.14164
2.83,283,1.14047
2.84,284,1.13931
2.85,285,1.13814
2.86,286,1.13699
2.87,287,1.13585
2.88,288,1.13472
2.89,289,1.13361
2.9,290,1.13252
2.91,291,1.13145
2.92,292,1.13042
2.93,293,1.12941
2.94,294,1.12844
2.95,295,1.12751
2.96,296,1.12662
2.97,297,1.12576
2.98,298,1.12495
2.99,299,1.12419
3,300,1.12347
3.01,301,1.1228
3.02,302,1.12218
3.03,303,1.12161
3.04,304,1.12109
3.05,305,1.12062
3.06,306,1.12021
3.07,307,1.11985
3.08,308,1.11954
3.09,309,1.11928
3.1,310,1.11908
3.11,311,1.11893
3.12,312,1.11883
3.13,313,1.11878
3.14,314,1.11879
3.15,315,1.11884
3.16,316,1.11894
3.17,317,1.11909
3.18,318,1.11928
3.19,319,1.11951
3.2,320,1.11979
3.21,321,1.12011
3.22,322,1.12046
3.23,323,1.12085
3.24,324,1.12127
3.25,325,1.12173
3.26,326,1.12222
3.27,327,1.12273
3.28,328,1.12327
3.29,329,1.12383
3.3,330,1.12441
3.31,331,1.12501
3.32,332,1.12562
3.33,333,1.12625
3.34,334,1.12688
3.35,335,1.12753
3.36,336,1.12818
3.37,337,1.12883
3.38,338,1.12949
3.39,339,1.13015
3.4,340,1.1308
3.41,341,1.13144
3.42,342,1.13208
3.43,343,1.13271
3.44,344,1.13333
3.45,345,1.13393
3.46,346,1.13452
3.47,347,1.13509
3.48,348,1.13564
3.49,349,1.13618
3.5,350,1.13669
3.51,351,1.13718
3.52,352,1.13764
3.53,353,1.13808
3.54,354,1.1385
3.55,355,1.13889
3.56,356,1.13925
3.57,357,1.13958
3.58,358,1.13988
3.59,359,1.14016
3.6,360,1.1404
3.61,361,1.14062
3.62,362,1.1408
3.63,363,1.14096
3.64,364,1.14108
3.65,365,1.14118
3.66,366,1.14125
3.67,367,1.14128
3.68,368,1.14129
3.69,369,1.14127
3.7,370,1.14123
3.71,371,1.14116
3.72,372,1.14106
3.73,373,1.14094
3.74,374,1.14079
3.75,375,1.14062
3.76,376,1.14043
3.77,377,1.14022
3.78,378,1.13999
3.79,379,1.13974
3.8,380,1.13947
3.81,381,1.13919
3.82,382,1.13889
3.83,383,1.13858
3.84,384,1.13826
3.85,385,1.13793
3.86,386,1.13759
3.87,387,1.13724
3.88,388,1.13688
3.89,389,1.13652
3.9,390,1.13616
3.91,391,1.13579
3.92,392,1.13542
3.93,393,1.13505
3.94,394,1.13469
3.95,395,1.13432
3.96,396,1.13396
3.97,397,1.13361
3.98,398,1.13326
3.99,399,1.13291
4,400,1.13258
4.01,401,1.13225
4.02,402,1.13194
4.03,403,1.13163
4.04,404,1.13134
4.05,405,1.13106
4.06,406,1.13079
4.07,407,1.13054
4.08,408,1.1303
4.09,409,1.13008
4.1,410,1.12987
4.11,411,1.12968
4.12,412,1.1295
4.13,413,1.12934
4.14,414,1.12919
4.15,415,1.12907
4.16,416,1.12895
4.17,417,1.12886
4.18,418,1.12878
4.19,419,1.12872
4.2,420,1.12868
4.21,421,1.12865
4.22,422,1.12864
4.23,423,1.12864
4.24,424,1.12866
4.25,425,1.1287
4.26,426,1.12875
4.27,427,1.12881
4.28,428,1.12889
4.29,429,1.12898
4.3,430,1.12908
4.31,431,1.12919
4.32,432,1.12932
4.33,433,1.12945
4.34,434,1.1296
4.35,435,1.12975
4.36,436,1.12992
4.37,437,1.13009
4.38,438,1.13027
4.39,439,1.13045
4.4,440,1.13064
4.41,441,1.13084
4.42,442,1.13104
4.43,443,1.13124
4.44,444,1.13144
4.45,445,1.13165
4.46,446,1.13186
4.47,447,1.13206
4.48,448,1.13227
4.49,449,1.13247
4.5,450,1.13268
4.51,451,1.13288
4.52,452,1.13308
4.53,453,1.13327
4.54,454,1.13346
4.55,455,1.13365
4.56,456,1.13383
4.57,457,1.134
4.58,458,1.13417
4.59,459,1.13433
4.6,460,1.13448
4.61,461,1.13463
4.62,462,1.13476
4.63,463,1.13489
4.64,464,1.13501
4.65,465,1.13513
4.66,466,1.13523
4.67,467,1.13532
4.68,468,1.13541
4.69,469,1.13548
4.7,470,1.13555
4.71,471,1.13561
4.72,472,1.13565
4.73,473,1.13569
4.74,474,1.13572
4.75,475,1.13574
4.76,476,1.13575
4.77,477,1.13575
4.78,478,1.13574
4.79,479,1.13573
4.8,480,1.1357
4.81,481,1.13567
4.82,482,1.13563
4.83,483,1.13558
4.84,484,1.13553
4.85,485,1.13547
4.86,486,1.1354
4.87,487,1.13533
4.88,488,1.13525
4.89,489,1.13516
4.9,490,1.13507
4.91,491,1.13498
4.92,492,1.13488
4.93,493,1.13477
4.94,494,1.13467
4.95,495,1.13456
4.96,496,1.13445
4.97,497,1.13434
4.98,498,1.13422
4.99,499,1.13411
5,500,1.13399
5.01,501,1.13387
5.02,502,1.13376
5.03,503,1.13364
5.04,504,1.13353
5.05,505,1.13341
5.06,506,1.1333
5.07,507,1.13319
5.08,508,1.13308
5.09,509,1.13298
5.1,510,1.13288
5.11,511,1.13278
5.12,512,1.13268
5.13,513,1.13259
5.14,514,1.1325
5.15,515,1.13242
5.16,516,1.13234
5.17,517,1.13226
5.18,518,1.13219
5.19,519,1.13213
5.2,520,1.13207
5.21,521,1.13201
5.22,522,1.13197
5.23,523,1.13192
5.24,524,1.13188
5.25,525,1.13185
5.26,526,1.13182
5.27,527,1.1318
5.28,528,1.13178
5.29,529,1.13176
5.3,530,1.13176
5.31,531,1.13175
5.32,532,1.13176
5.33,533,1.13176
5.34,534,1.13177
5.35,535,1.13179
5.36,536,1.13181
5.37,537,1.13184
5.38,538,1.13187
5.39,539,1.1319
5.4,540,1.13194
5.41,541,1.13198
5.42,542,1.13202
5.43,543,1.13207
5.44,544,1.13212
5.45,545,1.13217
5.46,546,1.13222
5.47,547,1.13228
5.48,548,1.13234
5.49,549,1.1324
5.5,550,1.13246
5.51,551,1.13252
5.52,552,1.13259
5.53,553,1.13265
5.54,554,1.13272
5.55,555,1.13278
5.56,556,1.13285
