#t,fmu0_p.e,fmu0_zChassis,fmu1_p.e,fmu1_p1.f,fmu1_zWheel,fmu2_p.f,fmu2_zGround
+0.0000000000000000e+00,+3.9226599999999999e+03,+1.0000000000000000e+00,+4.3149259999999995e+03,+0.0000000000000000e+00,+5.0000000000000000e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.0000000000000000e-02,+3.9226599999999999e+03,+1.0000000000000000e+00,+4.2919138562507906e+03,+1.3374573743027748e-02,+5.0015341429166127e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.0000000000000000e-02,+3.9376334777927873e+03,+1.0000016813692332e+00,+4.2772641762572084e+03,+5.5440826925854166e-03,+5.0025107882495190e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.9999999999999999e-02,+3.9303980324623762e+03,+1.0000061197144834e+00,+4.2789348470041905e+03,-7.7639790339531431e-03,+5.0023994101997216e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.0000000000000001e-02,+3.9160348123640047e+03,+1.0000108186653824e+00,+4.2978550906130331e+03,-1.6639554455639763e-02,+5.0011380606257982e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.0000000000000003e-02,+3.9050665611058239e+03,+1.0000127466048936e+00,+4.3232658393168304e+03,-1.6116146661674983e-02,+4.9994440107122129e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.9999999999999998e-02,+3.9036586367192608e+03,+1.0000103444278561e+00,+4.3413091679355530e+03,-7.1393832132161713e-03,+4.9982411221376311e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.0000000000000007e-02,+3.9118963205277578e+03,+1.0000043228726023e+00,+4.3431226475050644e+03,+4.8033140742664363e-03,+4.9981202234996641e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.0000000000000002e-02,+3.9246040029658088e+03,+9.9999711296101201e-01,+4.3292316822326602e+03,+1.3101213210633234e-02,+4.9990462878511571e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.9999999999999997e-02,+3.9346570661873152e+03,+9.9999143165463189e-01,+4.3084644469849964e+03,+1.3664733382298760e-02,+5.0004307702010020e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.0000000000000001e-01,+3.9369722260748381e+03,+9.9998881861954592e-01,+4.2925198124355411e+03,+6.8843474452526029e-03,+5.0014937458376330e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.1000000000000000e-01,+3.9310378059375344e+03,+9.9998892924649474e-01,+4.2894853497608265e+03,-2.9752757175400190e-03,+5.0016960433492808e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.2000000000000000e-01,+3.9207797683430495e+03,+9.9998989375937419e-01,+4.2998545930257296e+03,-1.0390881809031492e-02,+5.0010047604649532e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.3000000000000000e-01,+3.9120759911096929e+03,+9.9998945633055292e-01,+4.3169420629509423e+03,-1.1633207098617402e-02,+4.9998655958032734e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.4000000000000001e-01,+3.9094529002169297e+03,+9.9998621820930311e-01,+4.3310829853169125e+03,-6.5921741260326332e-03,+4.9989228676455427e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.4999999999999999e-01,+3.9137962775215733e+03,+9.9998031377146446e-01,+4.3350442563534780e+03,+1.4875013154668460e-03,+4.9986587829097723e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.6000000000000000e-01,+3.9222044913308027e+03,+9.9997321016750973e-01,+4.3276579738699193e+03,+8.0330774868446839e-03,+4.9991512017420098e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.7000000000000001e-01,+3.9298711085304317e+03,+9.9996681541341437e-01,+4.3139017966385099e+03,+9.6966736102400541e-03,+5.0000682802241025e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.7999999999999999e-01,+3.9328135485700873e+03,+9.9996243143337094e-01,+4.3017004473803927e+03,+6.0282562249824798e-03,+5.0008817035079767e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.9000000000000000e-01,+3.9299196364336935e+03,+9.9996012322646655e-01,+4.2974437433957446e+03,-5.4339067387881412e-04,+5.0011654837736208e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.0000000000000001e-01,+3.9232834130878973e+03,+9.9995880282697780e-01,+4.3027217422120821e+03,-6.2605811127612512e-03,+5.0008136171858653e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.0999999999999999e-01,+3.9168041007022944e+03,+9.9995691954290278e-01,+4.3139064807417926e+03,-8.1557864255458242e-03,+5.0000679679505500e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.2000000000000000e-01,+3.9139490861132763e+03,+9.9995333488048033e-01,+4.3245489390735656e+03,-5.5609321069223835e-03,+4.9993584707284328e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.3000000000000001e-01,+3.9159464387185781e+03,+9.9994789986663435e-01,+4.3290639304465039e+03,-2.5785105160370804e-04,+4.9990574713035707e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.3999999999999999e-01,+3.9213308718330768e+03,+9.9994145395580669e-01,+4.3256262710625151e+03,+4.6889364647438392e-03,+4.9992866485958365e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.5000000000000000e-01,+3.9269640777741924e+03,+9.9993529769764644e-01,+4.3168067958931761e+03,+6.6781358248145985e-03,+4.9998746136071259e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.6000000000000001e-01,+3.9298546688364468e+03,+9.9993046683830200e-01,+4.3078113293860406e+03,+4.9151759800695931e-03,+5.0004743113742667e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.7000000000000002e-01,+3.9287374914832403e+03,+9.9992721199670820e-01,+4.3034740410040849e+03,+6.7397256624980465e-04,+5.0007634639330645e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.8000000000000003e-01,+3.9245930154000448e+03,+9.9992494255071152e-01,+4.3057169818741904e+03,-3.5658608188394838e-03,+5.0006139345417255e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.8999999999999998e-01,+3.9199248829826101e+03,+9.9992262315842673e-01,+4.3127866551124762e+03,-5.5466763130605969e-03,+5.0001426229925072e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+2.9999999999999999e-01,+3.9172910520686091e+03,+9.9991937140687093e-01,+4.3205154569543947e+03,-4.4148804729421537e-03,+4.9996273695363785e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.1000000000000000e-01,+3.9179371124153226e+03,+9.9991492045307473e-01,+4.3247557364790409e+03,-1.0500601906937507e-03,+4.9993446842347355e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.2000000000000001e-01,+3.9212502332214203e+03,+9.9990971239497839e-01,+4.3235860168576082e+03,+2.5579490397164722e-03,+4.9994226655428309e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.3000000000000002e-01,+3.9252512062871347e+03,+9.9990460560368200e-01,+4.3181351946170353e+03,+4.4674611016641413e-03,+4.9997860536922023e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.4000000000000002e-01,+3.9277699958234912e+03,+9.9990038626010680e-01,+4.3117092766119858e+03,+3.8143258510817202e-03,+5.0002144482258715e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.4999999999999998e-01,+3.9276179748007503e+03,+9.9989736159757259e-01,+4.3078370357116701e+03,+1.1758075321243486e-03,+5.0004725976192266e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.5999999999999999e-01,+3.9251330851765929e+03,+9.9989524409079933e-01,+4.3083714894249470e+03,-1.8653697865262490e-03,+5.0004369673716742e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.7000000000000000e-01,+3.9218636592294006e+03,+9.9989336227019354e-01,+4.3126529273523247e+03,-3.6533434520431606e-03,+5.0001515381765149e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.8000000000000000e-01,+3.9196360926523248e+03,+9.9989105677347845e-01,+4.3180843277424046e+03,-3.3471673279243238e-03,+4.9997894448171765e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+3.9000000000000001e-01,+3.9195576948129874e+03,+9.9988803425189987e-01,+4.3216867860803150e+03,-1.2957810996684547e-03,+4.9995492809279823e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.0000000000000002e-01,+3.9214913493976833e+03,+9.9988449447857708e-01,+4.3217194402233408e+03,+1.2539379926857419e-03,+4.9995471039851141e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.0999999999999998e-01,+3.9242395525294173e+03,+9.9988098322615171e-01,+4.3184957436610748e+03,+2.9011004213793370e-03,+4.9997620170892659e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.1999999999999998e-01,+3.9262765461431336e+03,+9.9987807370627502e-01,+4.3140332508166448e+03,+2.8503308383912981e-03,+5.0000595166122275e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.2999999999999999e-01,+3.9265898704958013e+03,+9.9987606145913943e-01,+4.3108274568227789e+03,+1.2811576383210529e-03,+5.0002732362118196e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.4000000000000000e-01,+3.9251735572046459e+03,+9.9987483392235599e-01,+4.3104806288146210e+03,-8.3456793359347578e-04,+5.0002963580790294e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.5000000000000001e-01,+3.9229414920961503e+03,+9.9987396852797950e-01,+4.3129285327061134e+03,-2.3207641308635465e-03,+5.0001331644862634e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.6000000000000002e-01,+3.9211588158386230e+03,+9.9987298671159319e-01,+4.3166233618066708e+03,-2.4414534885216720e-03,+4.9998868425462262e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.6999999999999997e-01,+3.9207370764861039e+03,+9.9987161469680130e-01,+4.3194901484432739e+03,-1.2532990915327157e-03,+4.9996957234371192e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.7999999999999998e-01,+3.9217805294852951e+03,+9.9986991162198002e-01,+4.3200784702038527e+03,+4.9529508204897014e-04,+4.9996565019864136e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+4.8999999999999999e-01,+3.9236027062727326e+03,+9.9986820864307191e-01,+4.3182788931881869e+03,+1.8243385115228230e-03,+4.9997764737874584e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.0000000000000000e-01,+3.9251624628159789e+03,+9.9986690830744063e-01,+4.3152615862163511e+03,+2.0646320370444112e-03,+4.9999776275855806e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.1000000000000001e-01,+3.9256499352171022e+03,+9.9986626348254604e-01,+4.3127392008510406e+03,+1.1862881099022199e-03,+5.0001457866099330e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.2000000000000002e-01,+3.9248970814509971e+03,+9.9986625536335250e-01,+4.3120067385783741e+03,-2.4241433448620063e-04,+5.0001946174281098e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.3000000000000003e-01,+3.9234099050552627e+03,+9.9986662667062309e-01,+4.3132894489122500e+03,-1.4109462839473640e-03,+5.0001091034058509e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.4000000000000004e-01,+3.9220389677897560e+03,+9.9986703852727266e-01,+4.3157184254482772e+03,-1.7196476958589928e-03,+4.9999471716367827e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.5000000000000004e-01,+3.9214958787660375e+03,+9.9986725647113783e-01,+4.3178908741748164e+03,-1.0801495470226974e-03,+4.9998023417216803e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
