"time","chassis.zChassis"
0,1
0.01,1.00012
0.02,1.00045
0.03,1.00088
0.04,1.00121
0.05,1.00131
0.06,1.00118
0.07,1.00094
0.08,1.00074
0.09,1.00073
0.1,1.00089
0.11,1.00116
0.12,1.00139
0.13,1.00148
0.14,1.0014
0.15,1.00122
0.16,1.00105
0.17,1.00098
0.18,1.00104
0.19,1.00119
0.2,1.00133
0.21,1.00138
0.22,1.00132
0.23,1.00118
0.24,1.00102
0.25,1.00092
0.26,1.00091
0.27,1.00097
0.28,1.00104
0.29,1.00106
0.3,1.001
0.31,1.00088
0.32,1.00074
0.33,1.00063
0.34,1.00058
0.35,1.00058
0.36,1.0006
0.37,1.0006
0.38,1.00054
0.39,1.00044
0.4,1.00032
0.41,1.00021
0.42,1.00015
0.43,1.00012
0.44,1.00011
0.45,1.0001
0.46,1.00005
0.47,0.99997
0.48,0.999873
0.49,0.999782
0.5,0.999717
0.51,0.999683
0.52,0.999668
0.53,0.999652
0.54,0.99962
0.55,0.999566
0.56,0.999498
0.57,0.999432
0.58,0.999383
0.59,0.999357
0.6,0.999347
0.61,0.999341
0.62,0.999328
0.63,0.999301
0.64,0.999263
0.65,0.999226
0.66,0.999199
0.67,0.999188
0.68,0.999191
0.69,0.9992
0.7,0.999206
0.71,0.999204
0.72,0.999195
0.73,0.999184
0.74,0.99918
0.75,0.999187
0.76,0.999205
0.77,0.999228
0.78,0.999251
0.79,0.999269
0.8,0.999282
0.81,0.999293
0.82,0.999307
0.83,0.999328
0.84,0.999357
0.85,0.999391
0.86,0.999425
0.87,0.999456
0.88,0.999483
0.89,0.999507
0.9,0.999533
0.91,0.999563
0.92,0.999597
0.93,0.999635
0.94,0.999673
0.95,0.999708
0.96,0.99974
0.97,0.99977
0.98,0.999799
0.99,0.999829
1,0.999862
1.01,1.00003
1.02,1.00082
1.03,1.00285
1.04,1.00647
1.05,1.01146
1.06,1.01717
1.07,1.02281
1.08,1.0279
1.09,1.03245
1.1,1.03689
1.11,1.04181
1.12,1.04759
1.13,1.05423
1.14,1.06134
1.15,1.06841
1.16,1.07504
1.17,1.08114
1.18,1.08697
1.19,1.0929
1.2,1.09925
1.21,1.10607
1.22,1.11315
1.23,1.12012
1.24,1.12667
1.25,1.13271
1.26,1.13835
1.27,1.14384
1.28,1.14941
1.29,1.15515
1.3,1.16094
1.31,1.16655
1.32,1.17175
1.33,1.17644
1.34,1.18066
1.35,1.18458
1.36,1.18837
1.37,1.19212
1.38,1.19578
1.39,1.19921
1.4,1.20225
1.41,1.20481
1.42,1.20691
1.43,1.20864
1.44,1.21015
1.45,1.21151
1.46,1.21271
1.47,1.21369
1.48,1.21433
1.49,1.21456
1.5,1.21439
1.51,1.21388
1.52,1.21313
1.53,1.21222
1.54,1.21116
1.55,1.20991
1.56,1.20842
1.57,1.20663
1.58,1.20454
1.59,1.2022
1.6,1.19968
1.61,1.19703
1.62,1.1943
1.63,1.19146
1.64,1.18849
1.65,1.18535
1.66,1.18204
1.67,1.17858
1.68,1.17504
1.69,1.17146
1.7,1.16787
1.71,1.16428
1.72,1.16067
1.73,1.15702
1.74,1.15332
1.75,1.1496
1.76,1.14589
1.77,1.14223
1.78,1.13864
1.79,1.13515
1.8,1.13173
1.81,1.12838
1.82,1.12509
1.83,1.12186
1.84,1.11874
1.85,1.11573
1.86,1.11287
1.87,1.11016
1.88,1.1076
1.89,1.10517
1.9,1.10287
1.91,1.10071
1.92,1.09869
1.93,1.09684
1.94,1.09516
1.95,1.09366
1.96,1.09233
1.97,1.09117
1.98,1.09017
1.99,1.08933
2,1.08864
2.01,1.08812
2.02,1.08777
2.03,1.08759
2.04,1.08758
2.05,1.08773
2.06,1.08803
2.07,1.08846
2.08,1.08903
2.09,1.08974
2.1,1.09058
2.11,1.09156
2.12,1.09266
2.13,1.09389
2.14,1.09522
2.15,1.09664
2.16,1.09816
2.17,1.09976
2.18,1.10144
2.19,1.1032
2.2,1.10503
2.21,1.10692
2.22,1.10885
2.23,1.11083
2.24,1.11284
2.25,1.11487
2.26,1.11693
2.27,1.119
2.28,1.12107
2.29,1.12315
2.3,1.12522
2.31,1.12727
2.32,1.12929
2.33,1.13128
2.34,1.13324
2.35,1.13516
2.36,1.13703
2.37,1.13885
2.38,1.14062
2.39,1.14232
2.4,1.14395
2.41,1.14552
2.42,1.147
2.43,1.14841
2.44,1.14974
2.45,1.15098
2.46,1.15214
2.47,1.15321
2.48,1.15419
2.49,1.15507
2.5,1.15587
2.51,1.15656
2.52,1.15717
2.53,1.15768
2.54,1.1581
2.55,1.15842
2.56,1.15865
