"time","wheel.zWheel"
0,0.504752
0.01,0.512682
0.02,0.514796
0.03,0.509333
0.04,0.499566
0.05,0.490996
0.06,0.488057
0.07,0.491806
0.08,0.499649
0.09,0.507047
0.1,0.510101
0.11,0.507573
0.12,0.501307
0.13,0.494973
0.14,0.491948
0.15,0.493547
0.16,0.498505
0.17,0.503882
0.18,0.506776
0.19,0.505868
0.2,0.501978
0.21,0.497442
0.22,0.494729
0.23,0.49512
0.24,0.498128
0.25,0.501914
0.26,0.504392
0.27,0.504356
0.28,0.502048
0.29,0.498895
0.3,0.49665
0.31,0.496422
0.32,0.498151
0.33,0.500739
0.34,0.502727
0.35,0.503108
0.36,0.50182
0.37,0.499694
0.38,0.497933
0.39,0.49744
0.4,0.49836
0.41,0.500075
0.42,0.501598
0.43,0.502132
0.44,0.501478
0.45,0.500088
0.46,0.498765
0.47,0.498204
0.48,0.498634
0.49,0.499735
0.5,0.500859
0.51,0.501403
0.52,0.501127
0.53,0.50025
0.54,0.49929
0.55,0.498764
0.56,0.498912
0.57,0.499594
0.58,0.500397
0.59,0.500883
0.6,0.500819
0.61,0.500289
0.62,0.499615
0.63,0.499169
0.64,0.499167
0.65,0.49957
0.66,0.500128
0.67,0.50053
0.68,0.500575
0.69,0.500273
0.7,0.499814
0.71,0.499459
0.72,0.499387
0.73,0.499612
0.74,0.499989
0.75,0.500304
0.76,0.500397
0.77,0.500238
0.78,0.499937
0.79,0.499666
0.8,0.49957
0.81,0.499685
0.82,0.499933
0.83,0.500171
0.84,0.500275
0.85,0.500204
0.86,0.500012
0.87,0.499814
0.88,0.499718
0.89,0.499768
0.9,0.499925
0.91,0.500098
0.92,0.500196
0.93,0.500174
0.94,0.500057
0.95,0.499917
0.96,0.499833
0.97,0.499845
0.98,0.499941
0.99,0.500063
1,0.503772
1.01,0.526611
1.02,0.571874
1.03,0.625188
1.04,0.664482
1.05,0.674154
1.06,0.65406
1.07,0.618975
1.08,0.589833
1.09,0.582261
1.1,0.598869
1.11,0.629085
1.12,0.655999
1.13,0.665945
1.14,0.655501
1.15,0.632398
1.16,0.610411
1.17,0.601489
1.18,0.609553
1.19,0.629127
1.2,0.64909
1.21,0.659101
1.22,0.65503
1.23,0.640605
1.24,0.624725
1.25,0.616258
